movie_name,id,short_comment,score,comment_time,votes,Fake
花木兰,Frederick,突出了女性独立自主的想法，不能用美貌来定义女性，应该用品格来定义。,5,2020-09-04 20:54:35,1721,0
花木兰,聿千。,多了一个星给神仙姐姐！！！这电影很迪士尼童话风格了，符合我的预期，当时不能用普通电影的尺度来衡量！记住这是迪士尼童话系列就完事儿,5,2020-09-04 23:44:14,234,1
花木兰,李清玉,很不错，就是海报画风有点老。,5,2020-09-04 21:26:25,176,1
花木兰,杰瑞的胸肌,既然定位是合家欢的真人公主改编电影，就不要用历史啊，文化啊来过度解读，那么苛刻干嘛，各方面其实都还好。合格的爆米花。加一星给迪姬尼。,5,2020-09-05 06:56:41,135,0
花木兰,哦,这个这是一个非常迪士尼的公主片，符合我的期望，我就想骂迪，干嘛让女巫死啊呜呜呜呜,5,2020-09-04 23:39:28,127,0
花木兰,赛马,刚刚在Disney+ 买片。对影片很满意，适合全家观看。屏幕越大效果越好。风景很美很梦幻。刘亦菲的花木兰表情很细致，演员们演技都在线。寓意教导- 真忠善孝。迪士尼真人中国公主电影让人满意,5,2020-09-04 21:25:41,128,0
花木兰,Q Q,起立鼓掌👏🏻为刘亦菲。通过角色花木兰升华了你的美。飞檐走壁，赤手空拳，长短兵器，竹子，棍子，暗器，巷战，近身作战，马上作战，群战，冰河决斗 ，脚手架，平衡木决斗，越往后难度逐渐升级，简直是迪士尼的中国功夫大全，由刘亦菲独挑大梁全部完成。支撑起一个纯武侠动作片。我女神太厉害了！！！！,5,2020-09-05 00:19:28,130,1
花木兰,柚子茶,D+上看的，电影很有迪士尼的色彩，反正我挺喜欢的。之前几部真人最喜欢阿拉丁，主要是故事来说一直不喜欢灰姑娘和美兽，阿拉丁算是比较不一样的。,5,2020-09-05 00:10:23,127,0
花木兰,Kazk,我爱刘亦菲！,5,2020-09-04 20:42:46,109,1
花木兰,可免免,在大家都觉得安佑森ABC的时候我反而能get到帅点 所以我觉得他应该让给我 让木兰和仙娘搞姬去,5,2020-09-04 20:15:47,107,0
花木兰,杰森jason,还原度很高，没有迪士尼公主情结的磨磨唧唧，忠，勇，真，孝的中国概念也诠释的很好,5,2020-09-05 00:16:56,108,0
花木兰,假装,有很多精彩打戏很燃，场景很好看，很宏大,5,2020-09-04 21:04:53,112,0
花木兰,momokiyo,用朋友的D+账号看完了，第一，我肯定会去电影院支持的，国内能去电影院看这个电影真的是福气呀，太适合院线了。第二，刘亦菲演的真的太棒了，在里面帅呆了，酷毙了。第三，完全合格的合家欢公主片，绝对是迪士尼真人翻拍片的上称之作。第四，瑕不掩瑜，刘亦菲的演技加上迪士尼超强的技术水平，你值得拥有。,5,2020-09-05 06:53:07,297,1
花木兰,omale,本人演了个龙套角色。,5,2020-09-04 19:13:30,75,1
花木兰,南方战士,作为一个星战迷，我对《花木兰》很满意，迪士尼果然每年都拍了一部星战片！,5,2020-09-05 20:18:56,55,0
