movie_name,id,short_comment,score,comment_time,votes
我的姐姐,查无此人,最后安然带着安子恒跑出领养家庭的时候，忘了把银行卡带上，这个事儿让我很挂心。,4,2021-04-03 15:18:04,23438
我的姐姐,滋养丰富风味绝,全片最震惊的一句话“从小被表哥当沙包，被姑父看洗澡”。,4,2021-04-02 20:17:40,14879
我的姐姐,WRONGCOLOR,姑妈那条线 就是两代人的悲哀,4,2021-04-02 20:21:33,8762
我的姐姐,天马星,作为有两个姐姐享受社会红利的弟弟，我一直对我的姐姐们抱有亏欠感，即使如此我也无法完全了解她们作为女性所遭受的困境。而《我的姐姐》则真实地将这种困境展现出来，女性就像套娃，一代代被装进重男轻女的男权社会套子中，压抑感和无力感充满我的胸膛，眼泪不争气地在眼眶里打转。除此之外，我还蛮喜欢这个结尾的，因为它展示了女性最强大的情感力量：爱与善良，影片通过姑妈鼓励年轻女性“套娃不必非得装在同一个套子里，自己的路自己走”，同时用这样的结尾告诉她们不要放弃爱与善良，因为女性独立和爱与善良从来都不是二选一。作为男性和弟弟，我们能为姐姐们做点什么？或许就从尊重她们的意志、了解她们的困境、支持她们的发声开始吧！男人要有内自省性。P.S.张子枫拿影后吧！PP.S小时候的安然是王圣迪（普普）演的，她未来也会拿影后的！,4,2021-03-28 17:48:24,6750
我的姐姐,狗不见🌈,从强制一孩到开放二胎，历史的组合拳就这样无差别地打在姐姐们的身上。而当姐姐们转身想为自己的生活奋力回击时，却只绝望地发觉无处下手——因为往往并没有什么十恶不赦的大坏人，让她们窒息的正是这充盈各处的厌女空气，以重男轻女之手，穿梭于日新月异的时空，如出一辙、驾轻就熟地扼住一代又一代女性的咽喉。（姑妈送走安然后喃喃自语俄语单词的那一刻泪崩了😭,5,2021-03-28 23:19:26,6082
我的姐姐,葱花花花花,虽然我并不喜欢在职业前特意去强调“女性”这个身份，但是对于这部电影，我真的觉得，只有女性主创才会选择这样尖锐又现实的议题，才会如此准确地共情女性痛点。在最真实的中国式语境里，影片并没有撕心裂肺地吼出女性的痛苦和不易，只是冷静又克制地剖开那些血淋淋的现实给人看。其实到结局时，养还是不养弟弟，甚至已经不是重点。因为影片只是想通过这一道选择题，揭示在“重男轻女”大背景下女性所面对的种种困境，来探讨在这个追求自我实现的时代里，女性在自我与亲情之间，那种永恒的的矛盾和撕扯。引发思考，远比给出答案更有意义。更加值得一夸的是全员的演技，精准而动人。子枫妹妹就是安然，一个要强又倔强的、竖起全身的刺随时准备抗争的、即使打不过也要打回去的女孩，那些愤怒、委屈、隐忍、无奈和无助，都很好地传达给了我。,5,2021-03-28 23:52:24,3343
我的姐姐,加油努力干吧,我想说，虽是开放式结局，但安然一定会去北京，她有她的坚韧,5,2021-04-02 21:28:54,3044
我的姐姐,伤逝,电影的主题真的很大，很有野心，直接面对了重男轻女的传统观念，理性与情感，家庭传统观念跟自我价值的对撞，很喜欢电影中讲述方式，不直接给答案，让观众去思考，在女性现实处境中的着笔应该会让很多人有共鸣。 张子枫真的是演艺圈里走得很稳的一个新生代演员，竟然成撑起这部电影，跟朱媛媛这种经验丰富的演员对戏完全不怯场，接得住，戏中几场情感对碰高潮戏都是她两者营造的。希望以后内地电影市场多点这样的电影，重故事，重现实，编剧演员各方面都不拉胯的制作。,4,2021-03-28 22:23:47,1957
我的姐姐,杨骁艾,我其实不喜欢这个结局，如果在签字的地方就留白，可能会更好吧。这个故事没有解决实际性的问题，人物也不能算跟自己和解了，很难受，让我想起地久天长的那种难受,4,2021-04-03 18:29:38,1528
我的姐姐,冷水浴缸,原剧本叫踢皮球一语三关，编剧设计了三组姐弟关系用女主产科护士的身份设定勾连起几代女性的困境，困境中细密编织了无数议题，扎实严肃，尽管琐碎但克制沉稳。人物之丰满，几乎每个角色都在最后翻转出来立住，被迫放弃念书的姑妈，不得已放弃孕妇的产科女医生。第二幕结尾连续两场震撼人心的和解与独立的大戏，对孕妇家属怒吼发问“你都有两个女儿了，为什么还要生儿子？”它讲的不是一位当姐姐的女性的个体遭遇，是强制引产上环计生政策到二胎政策放开被迫生子之下所有无法摆脱命运的女性，生育困境的背景笼罩于全片。最巧妙的是开放式结局，当所有人跟随导演的细微视角去体会她溺水般挣扎的困境，选择似乎不再重要，因为这是一个拍给所有人看的“知晓我命运”的故事。无论是社会意义，还是行业意义（有话语权的女编剧把女导演带了出来），都是典范。,4,2021-03-28 00:05:16,752
